,Ego,Alter,Program,Budget and Administration,Landscape,Permitting,Science,Other,Other Area,Strength
358,Amy Keister,Kurt Snider,Ecological Services,0,0,0,0,1,GIS,Communication
359,Amy Keister,Paul Lang,Ecological Services,0,1,0,0,1,GIS,Communication
360,Amy Keister,Brian Van Druten,National Wildlife Refuge System,0,0,0,0,1,GIS,Communication
361,Amy Keister,Mark Endries,Ecological Services,0,0,0,0,1,GIS,Communication
362,Amy Keister,Catherine McCurdy,National Wildlife Refuge System,0,0,0,0,1,GIS,Communication
363,Amy Keister,Brian Paddock,Information Resources and Technology Management (IRTM),0,0,0,0,1,GIS and IT,Communication
364,Amy Keister,Pam Wingrove,National Wildlife Refuge System,0,1,0,0,0,NA,Communication
365,Amy Keister,Jim Beasley,Information Resources and Technology Management (IRTM),0,0,0,0,1,GIS and IT,Communication
366,Amy Keister,Kirsten Luke,Other/Don't Know,0,1,0,0,1,GIS,NA
367,Louise Vaughn,Don Imm,Ecological Services,0,1,0,1,0,NA,Coordination
368,Louise Vaughn,John Tirpak,Ecological Services,0,1,0,1,0,NA,Coordination
369,Louise Vaughn,Michelle Moorman,Other/Don't Know,0,1,0,0,0,NA,Coordination
370,Louise Vaughn,Pete Benjamin,Ecological Services,0,1,0,0,0,NA,Coordination
371,Louise Vaughn,Pam Wingrove,Other/Don't Know,0,1,0,1,0,NA,Coordination
372,Louise Vaughn,Chuck Hayes,National Wildlife Refuge System,0,1,0,1,0,NA,Coordination
373,Louise Vaughn,Wendy Stanton,National Wildlife Refuge System,0,1,0,1,0,NA,Coordination
374,Louise Vaughn,Sara Ward,Ecological Services,0,1,0,1,0,NA,Communication
375,Miguel Garcia-Bermudez,Ivan Llerandi-roman,Ecological Services,0,1,0,1,0,NA,Collaboration
376,Miguel Garcia-Bermudez,Allan Brown,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
377,Miguel Garcia-Bermudez,Ramon Martin,Wildlife and Sport Fish Restoration,0,0,0,1,0,NA,Collaboration
378,Miguel Garcia-Bermudez,Edwin Muniz,Ecological Services,0,1,0,0,0,NA,Coordination
379,Miguel Garcia-Bermudez,Susan Silander,National Wildlife Refuge System,0,1,0,0,0,NA,Coordination
381,Miguel Garcia-Bermudez,Jan Zegarra,Ecological Services,0,0,0,1,0,NA,Collaboration
382,Miguel Garcia-Bermudez,Jose Cruz-Burgos,Ecological Services,0,0,0,1,0,NA,Collaboration
383,Miguel Garcia-Bermudez,Marelisa Rivera,Ecological Services,0,1,0,0,0,NA,Coordination
384,Miguel Garcia-Bermudez,Ana Roman,National Wildlife Refuge System,0,1,0,0,0,NA,Coordination
385,Miguel Garcia-Bermudez,Rafael Gonzalez,Ecological Services,0,0,0,1,0,NA,Collaboration
386,Miguel Garcia-Bermudez,John Galvez,Fisheries and Aquatic Conservation,0,0,0,1,0,NA,Collaboration
387,Ulgonda Kirkpatrick,Melissa Chaplin,Ecological Services,0,0,1,1,0,NA,Coordination
390,Ulgonda Kirkpatrick,Christine Willis,Ecological Services,0,0,1,1,0,NA,Coordination
391,Beth Stys,Larry Williams,Ecological Services,0,1,0,1,0,NA,Collaboration
392,Beth Stys,Roxanna Hinzman,Ecological Services,0,1,1,1,1,listed species coordination,Coordination
393,Beth Stys,Rafael Gonzalez,Ecological Services,0,1,0,1,0,NA,Coordination
394,Beth Stys,Victoria Foster,Other/Don't Know,0,0,1,0,0,NA,Communication
395,Beth Stys,Bill Miller,National Wildlife Refuge System,0,1,0,1,0,NA,Communication
396,Beth Stys,Kevin Kalasz,Ecological Services,0,1,0,0,1,listed species coordination,Communication
397,Beth Stys,Sean Blomquist,Ecological Services,0,1,0,0,1,listed species coordination,Communication
398,Buddy Jones,Karen Graves,Joint Administrative Operations,1,0,0,0,0,NA,Collaboration
399,Buddy Jones,Laurel Barnhill,Regional Director's Office,1,0,0,0,0,NA,Collaboration
400,Buddy Jones,Patricia Johnson,National Wildlife Refuge System,1,0,0,0,0,NA,Collaboration
401,Buddy Jones,Kimberly McClurg,National Wildlife Refuge System,1,0,0,0,0,NA,Collaboration
402,Buddy Jones,Teresa Ward,Ecological Services,1,0,0,0,0,NA,Coordination
403,Buddy Jones,Mara Lopez,Regional Director's Office,1,0,0,0,0,NA,Coordination
404,Buddy Jones,Denise Hinegardner,Ecological Services,1,0,0,0,0,NA,Coordination
405,Buddy Jones,Acquanetta Reese,Regional Director's Office,1,0,0,0,0,NA,Coordination
406,Hilary Morris,Pete Benjamin,Ecological Services,0,1,0,0,0,NA,Coordination
407,Hilary Morris,Pam Wingrove,National Wildlife Refuge System,0,1,0,0,0,NA,Coordination
408,Hilary Morris,Gary Peeples,Ecological Services,0,0,0,0,1,"""Sustainable Species Goal"" communications team",Communication
409,Hilary Morris,Mark Davis,External Affairs,0,0,0,0,1,"""Sustainable Species Goal"" communications team",Communication
410,Hilary Morris,David Viker,National Wildlife Refuge System,0,1,0,0,1,"""Sustainable Species Goal"" communications team",Coordination
411,Hilary Morris,Sara Ward,Ecological Services,0,1,0,0,0,NA,Communication
412,Hilary Morris,Howard Phillips,National Wildlife Refuge System,0,1,0,0,1,"""Sustainable Species Goal"" communications team",Communication
413,Hilary Morris,Terry Peacock,National Wildlife Refuge System,0,1,0,0,0,NA,Communication
414,Hilary Morris,Sarah McRae,Ecological Services,0,1,0,0,0,NA,Coordination
415,Hilary Morris,Marshall (Craig) Sasser,National Wildlife Refuge System,0,1,0,0,0,NA,NA
416,Yvonne Allen,Rebekah Gibble,National Wildlife Refuge System,0,0,0,1,0,NA,Coordination
417,Yvonne Allen,Allan Brown,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
418,Yvonne Allen,Glenn Constant,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
419,Yvonne Allen,Angie Rodgers,Fisheries and Aquatic Conservation,0,0,0,1,0,NA,Coordination
421,Yvonne Allen,Angela Erves,Fisheries and Aquatic Conservation,0,0,0,1,0,NA,Communication
422,Yvonne Allen,Carrie Straight,Ecological Services,0,0,0,1,0,NA,Communication
423,Yvonne Allen,Michelle Moorman,National Wildlife Refuge System,0,0,0,1,0,NA,Communication
424,Yvonne Allen,Adam Smith,National Wildlife Refuge System,0,0,0,1,0,NA,Coordination
425,Yvonne Allen,Adam Kaeser,Fisheries and Aquatic Conservation,0,0,0,1,0,NA,Coordination
426,Yvonne Allen,Kayla Kimmel,Fisheries and Aquatic Conservation,0,0,0,1,0,NA,Collaboration
427,Yvonne Allen,Cathy Breaux,Ecological Services,0,0,0,1,0,NA,Coordination
428,Yvonne Allen,Doug Newcomb,Ecological Services,0,0,0,1,0,NA,Coordination
429,Dawn James,Don Calder,Regional Director's Office,1,0,0,0,0,NA,Communication
431,Dawn James,Gerold Elrod,Joint Administrative Operations,1,0,0,0,0,NA,Communication
432,Dawn James,Keith Williams,Regional Director's Office,1,0,0,0,0,NA,Communication
433,Dawn James,Laura Maloof,Regional Director's Office,1,0,0,0,0,NA,Communication
434,Dawn James,Randy Cook,National Wildlife Refuge System,0,1,0,0,0,NA,Communication
435,Dawn James,Steve Sponaugle,Regional Director's Office,1,0,0,0,0,NA,Communication
436,Dawn James,Troy Littrel,National Wildlife Refuge System,0,1,0,0,0,NA,Communication
437,Blair Tirpak,Barry Wilson,Other/Don't Know,0,1,0,1,0,NA,Collaboration
438,Blair Tirpak,Bill Vermillion,Other/Don't Know,0,1,0,1,0,NA,Collaboration
439,Blair Tirpak,Laurel Barnhill,Regional Director's Office,0,0,0,1,0,NA,Coordination
440,Blair Tirpak,Steve DeMaso,Other/Don't Know,0,1,0,1,0,NA,Communication
441,Blair Tirpak,Mark Parr,Other/Don't Know,0,1,0,1,0,NA,Coordination
442,Blair Tirpak,Glenn Constant,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
443,Blair Tirpak,Brian Spears,Gulf Restoration,0,0,0,1,0,NA,Coordination
444,Blair Tirpak,Paul Necaise,Ecological Services,0,0,0,1,0,NA,Coordination
445,Blair Tirpak,Patric Harper,Ecological Services,0,0,0,1,0,NA,Communication
446,Blair Tirpak,Paul Lang,Ecological Services,0,1,0,1,0,NA,Collaboration
447,Blair Tirpak,Kristi Yanchis,Ecological Services,0,1,0,1,0,NA,Collaboration
450,Blair Tirpak,Tony Brady,Fisheries and Aquatic Conservation,0,1,0,1,0,NA,Collaboration
451,Blair Tirpak,Chuck Hunter,National Wildlife Refuge System,0,0,0,1,0,NA,Communication
452,Carmen Simonton,Tiffany McClurkin,Joint Administrative Operations,0,0,1,0,0,NA,Coordination
453,Carmen Simonton,Kristen Peters,External Affairs,0,0,1,0,0,NA,Coordination
454,Carmen Simonton,Christine Willis,Ecological Services,0,0,1,0,0,NA,Coordination
455,Stephanie Bruner,Acquanetta Reese,Regional Director's Office,1,0,0,0,0,NA,Collaboration
456,Stephanie Bruner,Laura Maloof,Regional Director's Office,1,0,0,0,0,NA,Collaboration
457,Stephanie Bruner,Laurel Barnhill,Regional Director's Office,1,0,0,0,0,NA,Coordination
458,Stephanie Bruner,Linda Guthrie,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
459,Stephanie Bruner,Brett Hunter,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
460,Stephanie Bruner,David Viker,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
461,Stephanie Bruner,Daffny Pitchford,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
462,Stephanie Bruner,Kevin Lowry,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
463,Stephanie Bruner,Mindy Gautreaux,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
464,Stephanie Bruner,Holly Gaboriault,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
465,Stephanie Bruner,Brian Ellington,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
466,Stephanie Bruner,Kimberly McClurg,National Wildlife Refuge System,1,0,0,0,0,NA,Coordination
